Data,Temperatura,Wilogtność powietrza,Prędkość wiatru,Zachmurzenie,Dobowa prognoza zapotrzebowania KSE,Rzeczywiste zapotrzebowanie KSE
2015-01-01,-0.77,31.8,1.34,7.57,,15098.4
2015-01-02,1.27,29.94,2.47,6.83,17822.96,17869.2
2015-01-03,1.87,28.0,2.8,6.95,17639.33,17684.92
2015-01-04,0.42,28.89,2.79,6.27,16235.42,16453.76
2015-01-05,-1.03,29.75,1.91,6.05,18892.71,18856.44
2015-01-06,-6.58,28.57,1.14,3.66,16616.67,17076.58
2015-01-07,-9.25,26.7,1.41,5.85,20104.17,20985.77
2015-01-08,-3.5,30.47,1.81,7.19,20854.17,21304.73
2015-01-09,1.52,30.54,2.98,7.58,21188.58,21083.36
2015-01-10,5.43,31.16,2.33,7.59,18791.67,18888.73
2015-01-11,3.21,25.87,2.88,6.5,17306.25,16938.98
2015-01-12,2.37,30.43,2.39,7.41,20833.33,20561.26
2015-01-13,5.07,27.18,2.25,4.82,21252.08,20731.12
2015-01-14,4.24,26.72,1.68,5.66,21308.33,20746.42
2015-01-15,1.74,29.81,1.52,5.79,21162.5,20752.52
2015-01-16,4.28,26.96,1.82,4.54,20941.67,20509.94
2015-01-17,4.59,29.11,1.66,5.79,18818.75,18717.06
2015-01-18,1.37,33.02,0.53,6.92,17079.17,16915.63
2015-01-19,0.18,32.78,0.82,7.55,20566.67,20414.58
2015-01-20,0.38,32.44,1.05,7.66,21429.17,20969.75
2015-01-21,1.03,32.91,0.48,7.59,21450.0,20980.76
2015-01-22,1.1,33.28,0.74,7.65,21022.96,21007.03
2015-01-23,0.74,32.91,0.91,7.55,21061.04,21024.91
2015-01-24,-0.91,32.51,0.85,7.52,19160.12,19082.49
2015-01-25,-1.46,32.47,0.96,7.75,17299.96,17228.21
2015-01-26,-1.4,31.74,0.74,7.57,20565.42,20541.69
2015-01-27,-1.69,31.64,1.21,7.06,21084.29,21086.79
2015-01-28,-0.06,31.32,1.2,7.36,21023.54,21016.59
2015-01-29,-0.36,29.62,1.99,6.59,20913.21,20829.0
2015-01-30,0.38,30.11,1.8,7.23,20752.08,20788.94
2015-01-31,-0.57,31.35,1.57,6.85,18743.83,18708.21
2015-02-01,-2.21,22.28,1.21,4.37,16928.46,16837.83
2015-02-02,-3.14,23.75,0.94,6.24,20260.38,20226.62
2015-02-03,-3.04,23.33,1.15,5.61,20868.0,20845.87
2015-02-04,-3.22,23.95,0.56,7.27,21006.5,21017.12
2015-02-05,-3.55,24.2,0.86,7.09,21304.17,21152.44
2015-02-06,-3.95,23.11,1.56,7.01,21145.83,21099.49
2015-02-07,-3.37,22.8,1.9,5.27,18839.58,18962.58
2015-02-08,-2.5,23.36,2.51,6.53,17158.33,17111.46
2015-02-09,-2.55,24.32,1.54,7.73,20866.67,20545.71
2015-02-10,0.62,25.53,1.19,7.7,21254.17,20771.33
2015-02-11,1.0,25.11,0.76,7.72,21085.42,20831.59
2015-02-12,0.73,23.38,1.15,5.35,21043.75,20551.13
2015-02-13,-0.49,22.46,1.06,2.87,20933.33,20392.95
