Data,Dobowa prognoza zapotrzebowania KSE,Rzeczywiste zapotrzebowanie KSE
2015-01-01,,15098.4
2015-01-02,17822.96,17869.2
2015-01-03,17639.33,17684.92
2015-01-04,16235.42,16453.76
2015-01-05,18892.71,18856.44
2015-01-06,16616.67,17076.58
2015-01-07,20104.17,20985.77
2015-01-08,20854.17,21304.73
2015-01-09,21188.58,21083.36
2015-01-10,18791.67,18888.73
2015-01-11,17306.25,16938.98
2015-01-12,20833.33,20561.26
2015-01-13,21252.08,20731.12
2015-01-14,21308.33,20746.42
2015-01-15,21162.5,20752.52
2015-01-16,20941.67,20509.94
2015-01-17,18818.75,18717.06
2015-01-18,17079.17,16915.63
2015-01-19,20566.67,20414.58
2015-01-20,21429.17,20969.75
2015-01-21,21450.0,20980.76
2015-01-22,21022.96,21007.03
2015-01-23,21061.04,21024.91
2015-01-24,19160.12,19082.49
2015-01-25,17299.96,17228.21
2015-01-26,20565.42,20541.69
2015-01-27,21084.29,21086.79
2015-01-28,21023.54,21016.59
2015-01-29,20913.21,20829.0
2015-01-30,20752.08,20788.94
2015-01-31,18743.83,18708.21
2015-02-01,16928.46,16837.83
2015-02-02,20260.38,20226.62
2015-02-03,20868.0,20845.87
2015-02-04,21006.5,21017.12
2015-02-05,21304.17,21152.44
2015-02-06,21145.83,21099.49
2015-02-07,18839.58,18962.58
2015-02-08,17158.33,17111.46
2015-02-09,20866.67,20545.71
2015-02-10,21254.17,20771.33
2015-02-11,21085.42,20831.59
2015-02-12,21043.75,20551.13
2015-02-13,20933.33,20392.95
2015-02-14,18845.83,18387.91
2015-02-15,16937.5,16745.51
2015-02-16,20333.33,20434.65
2015-02-17,20787.5,20775.22
2015-02-18,21137.5,20737.7
2015-02-19,21137.5,20752.2
2015-02-20,20791.67,20291.92
2015-02-21,18608.33,18311.26
2015-02-22,16912.5,16403.69
2015-02-23,20470.83,19682.48
2015-02-24,20629.17,20246.73
2015-02-25,20681.25,20411.77
2015-02-26,20416.33,20396.16
2015-02-27,20675.0,20177.65
2015-02-28,18633.33,18182.87
2015-03-01,16508.33,16251.09
2015-03-02,19916.67,19577.1
2015-03-03,20441.67,20304.01
2015-03-04,20204.17,20365.92
2015-03-05,20433.33,20483.44
2015-03-06,20583.33,20409.94
2015-03-07,18205.75,18164.24
2015-03-08,16279.17,15975.75
2015-03-09,19658.33,19255.61
2015-03-10,19729.92,19869.29
2015-03-11,20038.17,20118.69
2015-03-12,20252.08,20070.44
2015-03-13,20391.67,20156.99
2015-03-14,18325.0,18231.78
2015-03-15,16195.83,16163.57
2015-03-16,19575.0,19159.97
2015-03-17,20027.08,19539.92
2015-03-18,19979.17,19484.28
2015-03-19,19860.42,19607.44
2015-03-20,19775.0,19487.44
2015-03-21,18018.75,17588.81
2015-03-22,16208.33,16096.07
2015-03-23,19533.33,19111.69
2015-03-24,19850.0,19555.16
2015-03-25,19658.33,19340.07
2015-03-26,19808.33,19457.97
2015-03-27,19804.17,19537.44
2015-03-28,17762.5,17766.52
2015-03-29,15917.39,15936.82
2015-03-30,18972.92,19244.93
2015-03-31,19722.92,19865.26
2015-04-01,19849.25,19875.89
2015-04-02,20145.83,20206.41
2015-04-03,19633.33,19431.49
2015-04-04,16789.58,16274.53
2015-04-05,13950.0,13606.91
2015-04-06,13864.58,13673.02
2015-04-07,18343.75,18392.14
2015-04-08,19216.67,19605.54
2015-04-09,19458.33,19377.92
2015-04-10,19362.5,18972.62
2015-04-11,17420.83,16978.38
2015-04-12,15525.0,15160.16
2015-04-13,18979.17,18438.29
2015-04-14,,19052.86
2015-04-15,19506.25,19031.02
2015-04-16,19358.33,18887.9
2015-04-17,19204.17,18990.26
2015-04-18,17229.17,17344.21
2015-04-19,15279.17,15492.13
2015-04-20,18883.33,18502.23
2015-04-21,19308.33,18909.14
2015-04-22,19204.17,18782.63
2015-04-23,19054.17,18732.99
2015-04-24,18854.17,18682.57
2015-04-25,16887.5,16762.53
2015-04-26,15087.5,14987.32
2015-04-27,18341.67,18143.38
2015-04-28,18918.75,18779.31
2015-04-29,18910.42,18769.15
2015-04-30,18722.92,18250.96
2015-05-01,14952.08,15169.04
2015-05-02,15304.17,14947.39
2015-05-03,14356.25,13782.78
2015-05-04,17962.5,17778.26
2015-05-05,18527.08,18627.7
2015-05-06,18693.75,18909.36
2015-05-07,18604.17,18517.66
2015-05-08,18950.0,18353.3
2015-05-09,16604.17,16552.24
2015-05-10,14870.83,14761.45
2015-05-11,18054.17,17826.89
2015-05-12,18716.67,18329.43
2015-05-13,18816.67,18358.29
2015-05-14,18625.0,18462.28
2015-05-15,18737.5,18405.72
2015-05-16,16758.33,16420.86
2015-05-17,14937.5,14615.11
2015-05-18,17931.25,17736.66
2015-05-19,18479.17,18447.05
2015-05-20,18677.08,18634.58
2015-05-21,18697.92,18678.2
2015-05-22,18652.08,18585.83
2015-05-23,16566.67,16630.76
2015-05-24,14470.83,14441.89
2015-05-25,18050.0,17966.87
2015-05-26,18666.67,18560.37
2015-05-27,18702.08,18642.92
2015-05-28,18816.67,18515.81
2015-05-29,18750.0,18398.29
2015-05-30,16666.67,16444.16
2015-05-31,14539.58,14488.45
2015-06-01,17981.25,17777.86
2015-06-02,18816.67,18441.26
2015-06-03,18758.33,18477.37
2015-06-04,14495.83,14265.03
2015-06-05,16012.5,16184.59
2015-06-06,15637.5,15760.12
2015-06-07,14254.17,14579.54
2015-06-08,18233.33,17704.86
2015-06-09,18708.33,18266.32
2015-06-10,18654.17,18448.86
2015-06-11,18645.83,18491.5
2015-06-12,18845.83,18631.59
2015-06-13,16868.75,16923.16
2015-06-14,14862.5,14830.54
2015-06-15,18141.67,17820.79
2015-06-16,18637.5,18199.25
2015-06-17,18570.83,18257.69
2015-06-18,18479.17,18424.44
2015-06-19,18410.42,18432.88
2015-06-20,16797.92,16458.29
2015-06-21,14516.67,14610.27
2015-06-22,17954.17,17752.47
2015-06-23,18445.83,18521.51
2015-06-24,18612.5,18463.94
2015-06-25,18708.33,18412.61
2015-06-26,18350.0,18352.6
2015-06-27,16318.75,16642.91
2015-06-28,14766.67,14793.22
2015-06-29,17895.83,17804.01
2015-06-30,18762.5,18467.18
2015-07-01,18775.0,18613.98
2015-07-02,18887.5,18805.37
2015-07-03,19075.0,18883.72
2015-07-04,17370.83,16982.79
2015-07-05,15254.17,15392.67
2015-07-06,18804.17,18578.2
2015-07-07,19175.0,19039.04
2015-07-08,19208.33,18687.48
2015-07-09,18925.0,18303.74
2015-07-10,18791.67,17931.3
2015-07-11,16762.5,16221.79
2015-07-12,14879.17,14768.56
2015-07-13,17945.83,17773.21
2015-07-14,18641.67,18334.46
2015-07-15,18720.83,18418.45
2015-07-16,18795.83,18548.32
2015-07-17,19008.33,18721.21
2015-07-18,17054.17,16894.3
2015-07-19,15358.33,14945.86
2015-07-20,18491.67,17633.04
2015-07-21,18845.83,18513.2
2015-07-22,19204.17,19003.83
2015-07-23,19100.0,19080.36
2015-07-24,19183.33,18829.38
2015-07-25,16850.0,16953.7
2015-07-26,14954.17,14795.31
2015-07-27,18022.92,17414.61
2015-07-28,18800.0,18045.19
2015-07-29,18254.17,18082.14
2015-07-30,18291.67,18045.0
2015-07-31,18285.42,17800.05
2015-08-01,16766.67,16052.8
2015-08-02,15110.42,14682.62
2015-08-03,18008.33,17814.94
2015-08-04,19012.5,18608.02
2015-08-05,19100.0,18852.57
2015-08-06,19216.67,18967.9
2015-08-07,19116.67,19025.81
2015-08-08,17312.5,17313.49
2015-08-09,15439.58,15602.68
2015-08-10,17706.38,17409.08
2015-08-11,17872.88,18046.74
2015-08-12,19366.67,18749.67
2015-08-13,19152.08,18779.88
2015-08-14,19168.75,18147.97
2015-08-15,14981.25,14950.09
2015-08-16,14887.5,14637.59
2015-08-17,18614.58,17781.9
2015-08-18,19183.33,18361.97
2015-08-19,18812.5,18306.73
2015-08-20,18625.0,18209.34
2015-08-21,18581.25,18240.91
2015-08-22,16645.83,16525.65
2015-08-23,15035.42,14853.17
2015-08-24,18314.58,18057.6
2015-08-25,18727.08,18619.87
2015-08-26,18775.0,18586.95
2015-08-27,18950.0,18776.25
2015-08-28,18975.0,18932.68
2015-08-29,16991.67,16842.85
2015-08-30,15329.17,15182.32
2015-08-31,18820.83,18758.9
2015-09-01,19384.0,19420.56
2015-09-02,19295.83,18923.47
2015-09-03,19225.0,18687.38
2015-09-04,19147.92,18667.22
2015-09-05,16862.5,16567.44
2015-09-06,15139.58,14748.45
2015-09-07,18418.75,17795.21
2015-09-08,18912.5,18375.74
2015-09-09,18891.67,18584.11
2015-09-10,18816.67,18439.56
2015-09-11,18858.33,18457.02
2015-09-12,16862.5,15744.82
2015-09-13,15079.17,14783.0
2015-09-14,18229.17,18056.56
2015-09-15,18783.33,19037.14
2015-09-16,18958.33,19223.39
2015-09-17,19520.83,19406.6
2015-09-18,19429.17,18981.2
2015-09-19,17233.33,17166.55
2015-09-20,15191.67,15261.08
2015-09-21,18620.83,18294.91
2015-09-22,19139.58,18763.18
2015-09-23,19212.5,19134.68
2015-09-24,19195.83,19100.23
2015-09-25,19458.33,19062.98
2015-09-26,17466.67,17217.91
2015-09-27,15433.33,15242.55
2015-09-28,18812.5,18382.9
2015-09-29,19383.33,19078.08
2015-09-30,19375.0,19225.93
2015-10-01,19491.67,19103.33
2015-10-02,19483.33,17269.21
2015-10-03,17520.83,17244.48
2015-10-04,15625.0,15362.19
2015-10-05,18854.17,18505.53
2015-10-06,19520.83,19085.38
2015-10-07,19495.83,19094.33
2015-10-08,19500.0,19167.47
2015-10-09,19537.5,19374.36
2015-10-10,17708.33,17552.05
2015-10-11,15937.5,15773.56
2015-10-12,19233.33,19414.95
2015-10-13,19808.33,20321.28
2015-10-14,20214.58,20239.54
2015-10-15,20350.0,20008.76
2015-10-16,20504.17,19956.12
2015-10-17,18304.17,18142.54
2015-10-18,16262.5,16234.55
2015-10-19,20004.17,19583.78
2015-10-20,20458.33,20313.35
2015-10-21,20541.67,20373.1
2015-10-22,20504.17,20283.46
2015-10-23,20420.83,20037.22
2015-10-24,18283.33,18142.89
2015-10-25,16294.0,16241.79
2015-10-26,19975.0,19602.39
2015-10-27,20408.33,20229.09
2015-10-28,20500.0,20146.44
2015-10-29,20608.33,20364.78
2015-10-30,20341.67,20185.03
2015-10-31,18079.17,17618.53
2015-11-01,15389.58,14483.87
2015-11-02,19371.25,18956.86
2015-11-03,20545.83,20264.89
2015-11-04,20512.5,20448.77
2015-11-05,20479.17,20622.09
2015-11-06,20712.5,20609.5
2015-11-07,18504.17,18593.57
2015-11-08,16591.67,16244.01
2015-11-09,20016.67,19782.66
2015-11-10,20591.67,19913.5
2015-11-11,16833.33,16612.18
2015-11-12,20043.75,19330.53
2015-11-13,20566.67,19936.55
2015-11-14,18904.17,18141.12
2015-11-15,16791.67,16565.31
2015-11-16,20270.83,19905.0
2015-11-17,20791.67,20292.43
2015-11-18,20812.5,20136.35
2015-11-19,20722.92,20187.18
2015-11-20,20739.58,20318.49
2015-11-21,18795.83,18582.78
2015-11-22,16954.17,16635.66
2015-11-23,20299.12,20346.61
2015-11-24,20904.25,20921.62
2015-11-25,21362.5,21087.66
2015-11-26,21341.29,21279.53
2015-11-27,21164.67,21211.27
2015-11-28,19237.5,19189.61
2015-11-29,17277.08,16979.69
2015-11-30,20870.83,20079.99
2015-12-01,21329.17,20723.38
2015-12-02,21027.88,21106.93
2015-12-03,21066.92,20961.12
2015-12-04,21266.67,20316.52
2015-12-05,19541.67,18347.27
2015-12-06,17404.17,16516.65
2015-12-07,20683.33,20226.31
2015-12-08,21150.0,20804.45
2015-12-09,21275.0,21095.35
2015-12-10,21433.33,20860.75
2015-12-11,21504.17,20831.16
2015-12-12,19608.33,18859.44
2015-12-13,17462.5,16910.21
2015-12-14,20937.5,20647.06
2015-12-15,21550.0,21320.17
2015-12-16,21429.17,21306.62
2015-12-17,21533.33,21035.94
2015-12-18,21345.83,20496.1
2015-12-19,19358.33,18474.99
2015-12-20,17275.0,16520.61
2015-12-21,20616.67,19736.61
2015-12-22,20401.92,19810.76
2015-12-23,19761.83,19503.43
2015-12-24,16022.08,15810.31
2015-12-25,13983.33,13446.58
2015-12-26,14025.0,13428.25
2015-12-27,15291.67,14522.47
2015-12-28,18274.96,17921.31
2015-12-29,19087.5,18645.28
2015-12-30,19520.83,18877.45
2015-12-31,17658.33,17281.93
2016-01-01,14904.17,15060.59
2016-01-02,16933.46,17006.76
2016-01-03,17152.62,17392.58
2016-01-04,20798.42,21035.03
2016-01-05,21770.83,21709.92
2016-01-06,17460.42,18351.18
2016-01-07,20862.5,21324.73
2016-01-08,21279.17,21455.24
2016-01-09,19545.83,19368.13
2016-01-10,17902.08,17479.53
2016-01-11,21216.67,20882.41
2016-01-12,21754.17,21299.02
2016-01-13,21376.12,21230.93
2016-01-14,21541.21,21297.26
2016-01-15,21806.25,21312.64
