Data,Godz.,Dobowa prognoza zapotrzebowania KSE,Rzeczywiste zapotrzebowanie KSE
2015-01-01,24,,14705.78
2015-01-01,23,,15860.24
2015-01-01,22,,16559.75
2015-01-01,21,,17264.15
2015-01-01,20,,17552.65
2015-01-01,19,,17543.6
2015-01-01,18,,17645.91
2015-01-01,16,,15882.16
2015-01-01,15,,15698.79
2015-01-01,14,,15637.26
2015-01-01,13,,15188.36
2015-01-01,12,,14717.89
2015-01-01,17,,17216.19
2015-01-01,10,,13454.68
2015-01-01,11,,14094.52
2015-01-01,2,,14727.41
2015-01-01,3,,13979.46
2015-01-01,4,,13453.78
2015-01-01,5,,13306.0
2015-01-01,1,,15557.14
2015-01-01,7,,13165.11
2015-01-01,8,,13029.75
2015-01-01,9,,12945.35
2015-01-01,6,,13175.58
2015-01-02,16,20328.0,20516.4
2015-01-02,2,13212.0,13258.48
2015-01-02,24,16215.0,16641.7
2015-01-02,23,17590.0,17908.1
2015-01-02,22,19090.0,19113.53
2015-01-02,21,20360.0,20286.18
2015-01-02,20,21079.0,20924.3
2015-01-02,19,21356.0,21109.58
2015-01-02,18,21629.0,21448.8
2015-01-02,17,21690.0,21503.98
2015-01-02,15,20050.0,20393.95
2015-01-02,1,13828.0,13720.8
2015-01-02,13,19702.0,20030.82
2015-01-02,3,13028.0,13010.58
2015-01-02,4,13056.0,13006.9
2015-01-02,5,13426.0,13241.45
2015-01-02,6,14309.0,13985.82
2015-01-02,7,15800.0,15719.82
2015-01-02,14,19830.0,20491.95
2015-01-02,9,17764.0,17782.8
2015-01-02,10,18537.0,18763.35
2015-01-02,11,19148.0,19358.03
2015-01-02,12,19441.0,19743.78
2015-01-02,8,17283.0,16899.62
2015-01-03,15,19230.0,19216.58
2015-01-03,24,16205.0,16106.92
2015-01-03,23,17347.0,17324.4
2015-01-03,22,18609.0,18337.53
2015-01-03,21,19780.0,19535.68
2015-01-03,20,20460.0,20157.95
2015-01-03,19,20614.0,20469.95
2015-01-03,18,20909.0,20548.28
2015-01-03,17,20782.0,20674.05
2015-01-03,16,19599.0,19568.15
2015-01-03,14,19484.0,19455.45
2015-01-03,8,16219.0,16285.25
2015-01-03,12,19308.0,19193.75
2015-01-03,2,14349.0,14866.75
2015-01-03,3,13955.0,14559.7
2015-01-03,4,13834.0,14399.3
2015-01-03,5,13946.0,14584.08
2015-01-03,6,14373.0,14754.5
2015-01-03,13,19371.0,19228.25
2015-01-03,1,15168.0,15491.38
2015-01-03,9,17170.0,17005.97
2015-01-03,10,18296.0,18138.15
2015-01-03,11,18982.0,18846.65
2015-01-03,7,15354.0,15689.42
2015-01-04,15,17050.0,17347.42
2015-01-04,23,16900.0,16953.08
2015-01-04,22,17900.0,17920.38
2015-01-04,21,18700.0,18646.8
2015-01-04,20,19300.0,19320.15
2015-01-04,19,19200.0,19294.88
2015-01-04,18,19150.0,19287.32
2015-01-04,17,19000.0,19026.25
2015-01-04,16,17800.0,17553.35
2015-01-04,24,15600.0,15826.7
2015-01-04,14,17300.0,17593.1
2015-01-04,12,16850.0,17174.65
2015-01-04,13,17150.0,17300.2
2015-01-04,1,14800.0,15072.2
2015-01-04,3,13500.0,13946.2
2015-01-04,4,13250.0,13792.85
2015-01-04,5,13300.0,13817.22
2015-01-04,2,14000.0,14350.25
2015-01-04,7,13900.0,14381.15
2015-01-04,8,14100.0,14469.72
2015-01-04,9,15000.0,15067.3
2015-01-04,10,15900.0,16019.32
2015-01-04,11,16600.0,16764.95
2015-01-04,6,13400.0,13964.8
2015-01-05,10,20150.0,20241.28
2015-01-05,9,19375.0,19411.8
2015-01-05,8,18475.0,18428.8
2015-01-05,7,16875.0,17081.28
2015-01-05,4,14050.0,13981.18
2015-01-05,5,14325.0,14320.72
2015-01-05,3,14100.0,14036.88
2015-01-05,2,14300.0,14212.15
2015-01-05,11,20500.0,20542.62
2015-01-05,6,15100.0,15035.9
2015-01-05,1,14800.0,14796.22
2015-01-05,12,20775.0,20803.03
2015-01-05,14,21000.0,21171.42
2015-01-05,24,17300.0,17262.92
2015-01-05,23,18700.0,18574.75
2015-01-05,22,20150.0,19861.45
2015-01-05,21,21475.0,21086.42
2015-01-05,20,22075.0,21919.6
2015-01-05,13,20825.0,20876.92
2015-01-05,18,22550.0,22399.28
2015-01-05,17,22375.0,22323.0
2015-01-05,16,21025.0,20977.08
2015-01-05,15,20825.0,20995.2
2015-01-05,19,22300.0,22214.55
2015-01-06,15,17400.0,17608.8
2015-01-06,24,15900.0,16429.1
2015-01-06,23,17100.0,17812.3
2015-01-06,22,18000.0,18636.03
2015-01-06,21,18800.0,19579.05
2015-01-06,20,19300.0,19907.7
2015-01-06,19,19300.0,19897.25
2015-01-06,18,19200.0,19796.92
2015-01-06,17,19100.0,19321.03
2015-01-06,16,17900.0,17647.95
2015-01-06,14,17600.0,17905.55
2015-01-06,1,15900.0,16169.95
2015-01-06,12,17100.0,17398.95
2015-01-06,11,16700.0,17014.85
2015-01-06,10,16100.0,16433.72
2015-01-06,9,15300.0,15570.9
2015-01-06,8,14400.0,15064.28
2015-01-06,7,14400.0,15005.05
2015-01-06,6,14100.0,14824.92
2015-01-06,5,14200.0,14872.98
2015-01-06,4,14200.0,14924.78
2015-01-06,3,14400.0,15059.28
2015-01-06,2,15000.0,15395.75
2015-01-06,13,17400.0,17560.92
2015-01-07,16,22600.0,23527.85
2015-01-07,17,23800.0,24799.9
2015-01-07,18,23700.0,24771.88
2015-01-07,24,18200.0,18784.82
2015-01-07,21,22600.0,23519.4
2015-01-07,22,21300.0,21839.28
2015-01-07,23,19800.0,20220.58
2015-01-07,15,22200.0,23499.68
2015-01-07,19,23400.0,24396.32
2015-01-07,14,22500.0,23708.42
2015-01-07,20,23300.0,24237.52
2015-01-07,12,22100.0,23492.4
2015-01-07,13,22300.0,23582.85
2015-01-07,1,15000.0,15520.7
2015-01-07,2,14500.0,15134.42
2015-01-07,3,14200.0,14919.15
2015-01-07,4,14200.0,15074.68
2015-01-07,8,20700.0,21757.35
2015-01-07,6,16300.0,16505.62
2015-01-07,7,19700.0,19846.4
2015-01-07,9,21500.0,22658.3
2015-01-07,10,21800.0,23187.25
2015-01-07,5,14800.0,15366.05
2015-01-07,11,22000.0,23307.68
2015-01-08,16,22800.0,23200.2
2015-01-08,17,24000.0,24445.3
2015-01-08,18,23900.0,24559.15
2015-01-08,20,23400.0,24048.15
2015-01-08,15,22700.0,23072.32
2015-01-08,21,22700.0,23141.2
2015-01-08,22,21300.0,21517.9
2015-01-08,23,19700.0,19791.18
2015-01-08,24,18200.0,18446.5
2015-01-08,19,23600.0,24210.25
2015-01-08,14,23000.0,23276.65
2015-01-08,11,22700.0,23138.55
